"data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year"
"2023-12-31,202401,88.0,85,95,85,1.0,366.39188,0,4,520551320240119768,2024-02-15,0.0,4.014127,24018.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,552"
"2024-02-04,202406,47.0,20,192,18,0.8828066,49.53939,0,1,500320720240619768,2024-02-15,0.0,1.2975628,94874.0,26.0625,85.77616525,1,0,1,71.4386838125,58.869999125,29.738636625,32.9375,,,,,,149"
"2024-01-28,202405,48.0,43,65,43,0.995138,50.59342,0,3,500320720240519768,2024-02-15,0.0,1.8428129,94874.0,26.4285714285714,76.987764,0,1,1,58.722806,42.5377844285714,31.6233765714286,35.4285714285714,,,,,,149"
"2024-01-21,202404,38.0,37,44,37,0.9974237,40.053123,0,1,500320720240419768,2024-02-15,0.0,2.1643763,94874.0,25.6666666666667,81.68708,0,1,1,63.0315341333333,49.1787912,29.9575753333333,32.9333333333333,,,,,,149"
"2024-01-14,202403,25.0,25,28,25,0.9712383,26.350739,0,1,500320720240319768,2024-02-15,0.0,1.859397,94874.0,28.2,78.867214,0,1,1,62.1189076,51.1013517333333,32.4540794666667,35.2,,,,,,149"
"2024-01-07,202402,15.0,15,16,15,0.6846469,15.810443,0,1,500320720240219768,2024-02-15,0.0,1.1982726,94874.0,27.7692307692308,82.1934430769231,0,0,1,65.1718321538462,53.4030627692308,32.4335661538462,35.0769230769231,,,,,,149"
"2023-12-31,202401,11.0,11,12,11,0.4291575,11.594325,0,1,500320720240119768,2024-02-15,0.0,0.9292478,94874.0,26.4117647058824,90.7361960588235,1,0,1,74.8390317647059,61.8298402352941,30.0695192941176,32.9411764705882,,,,,,149"
"2024-02-04,202406,78.0,36,215,27,0.99501264,293.25513,0,4,521730220240619768,2024-02-15,0.0,1.5864645,26598.0,20.625,95.5985775,1,1,2,93.781654375,91.9647325,20.875,21.125,,,,,,206"
"2024-01-28,202405,82.0,77,95,77,0.99999976,308.29385,0,4,521730220240519768,2024-02-15,0.0,2.7537408,26598.0,19.7142857142857,92.7592157142857,1,1,2,91.5162592857143,90.2733034285714,20.0,20.2857142857143,,,,,,206"
"2024-01-21,202404,47.0,47,51,47,0.9997742,176.70502,0,2,521730220240419768,2024-02-15,0.0,2.4591389,26598.0,20.7142857142857,98.2973257142857,1,1,2,97.8926757142857,97.4880271428571,20.7857142857143,20.8571428571429,,,,,,206"
"2024-01-14,202403,22.0,22,22,22,0.92453265,82.71298,0,2,521730220240319768,2024-02-15,0.0,1.620524,26598.0,20.4285714285714,95.0171028571429,1,0,1,93.0978264285714,91.17855,20.6428571428571,20.8571428571429,,,,,,206"
"2024-01-07,202402,18.0,18,18,18,0.9736062,67.67426,0,3,521730220240219768,2024-02-15,0.0,2.1583426,26598.0,20.5714285714286,94.9690514285714,1,1,1,94.5703121428571,94.1715742857143,20.6428571428571,20.7142857142857,,,,,,206"
"2023-12-31,202401,15.0,15,15,15,0.9966298,56.395218,0,1,521730220240119768,2024-02-15,0.0,3.8526056,26598.0,20.2857142857143,99.1455371428571,1,1,1,99.1455371428571,99.1455371428571,20.5,20.7142857142857,,,,,,206"
"2024-02-04,202406,0.0,0,0,0,0.0,0.0,0,1,290323520240619768,2024-02-15,0.0,0.0,13761.0,26.4634146341463,73.1573322926829,0,0,0,69.6742114634146,65.5256047073171,27.0731706341463,27.780487804878,,,,,,3"
"2024-01-28,202405,1.0,1,1,1,0.6177498,7.266914,0,1,290323520240519768,2024-02-15,0.0,1.4390447,13761.0,25.4390243902439,77.7936609268293,0,0,0,76.5890798536585,74.9330725365854,25.8780487804878,26.3170731707317,,,,,,3"
"2024-01-21,202404,1.0,1,1,1,0.81445366,7.266914,0,1,290323520240419768,2024-02-15,0.0,3.3772886,13761.0,25.8048780487805,84.4534763414634,1,0,0,82.1687032926829,79.6150801707317,26.0853658536585,26.3658536585366,,,,,,3"
"2024-01-14,202403,1.0,1,1,1,0.9603134,7.266914,0,1,290323520240319768,2024-02-15,0.0,17.1166,13761.0,28.275,53.5374137,0,0,0,51.049639925,48.561865975,28.7,29.125,,,,,,3"
"2024-01-07,202402,0.0,0,0,0,0.0,0.0,0,1,290323520240219768,2024-02-15,0.0,0.0,13761.0,27.1052631578947,67.1601891052632,0,0,0,63.4963189473684,59.8324499473684,27.9605263157895,28.8157894736842,,,,,,3"
"2023-12-31,202401,0.0,0,0,0,0.0,0.0,0,1,290323520240119768,2024-02-15,0.0,0.0,13761.0,26.9,74.4309585,0,0,0,72.8770489,71.3231396,27.075,27.25,,,,,,3"
"2024-02-04,202406,81.0,18,402,9,0.9995519,110.65423,0,3,520860820240619768,2024-02-15,0.0,1.8312076,73201.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,135"
"2024-01-28,202405,66.0,46,150,43,0.99998724,90.162704,0,1,520860820240519768,2024-02-15,0.0,2.501497,73201.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,135"
"2024-01-21,202404,48.0,42,65,42,0.99998176,65.572876,0,1,520860820240419768,2024-02-15,0.0,3.0078707,73201.0,22.8571428571429,83.437763,0,1,1,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,135"
"2024-01-14,202403,15.0,14,21,14,0.9016276,20.491524,0,1,520860820240319768,2024-02-15,0.0,1.6960481,73201.0,22.625,75.302707875,0,0,1,72.773421875,70.24414175,23.1875,23.75,,,,,,135"
"2024-01-07,202402,20.0,20,23,20,0.99961776,27.322031,0,1,520860820240219768,2024-02-15,0.0,4.5782666,73201.0,21.7142857142857,87.0944164285714,1,1,1,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,135"
"2023-12-31,202401,7.0,7,8,7,0.6608538,9.562711,0,1,520860820240119768,2024-02-15,0.0,1.2547365,73201.0,21.375,91.4545975,1,0,1,90.47780375,89.50101125,21.4375,21.5,,,,,,135"
"2024-02-04,202406,51.0,17,182,5,0.9999337,1982.8927,0,3,521305320240619768,2024-02-15,0.0,2.5966253,2572.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,47"
